"ID","Units","Location","Direction","Theta_0","Blocks","Family","Theta_1","Comment"
"B.10.41.031e","ea","1","1","8","8","N/A","",""
"B.10.41.031i","ea","1","1","16","16","","",""
"B.10.41.032e","ea","2","1","8","8","","",""
"B.10.41.033e","ea","3","1","8","8","","",""
"B.10.41.033i","ea","3","1","16","16","","",""
"B.10.41.042i","ea","2","1","16","16","","",""
"B.10.41.044e","ea","4","1","8","8","","",""
"B.10.41.044i","ea","4","1","16","16","","",""
"B.10.41.051e","ea","1","2","12","12","","",""
"B.10.41.052e","ea","2","2","12","12","","",""
"B.10.41.053e","ea","3","2","12","12","","",""
"B.10.41.054e","ea","4","2","12","12","","",""
"B.10.41.061i","ea","1","2","12","12","","",""
"B.10.41.062i","ea","2","2","12","12","","",""
"B.10.41.063i","ea","3","2","12","12","","",""
"B.10.41.064i","ea","4","2","12","12","","",""
"B.20.11.001a","ft2","all","1","3228","32","","",""
"B.20.11.001a","ft2","all","2","1936","20","","",""
"C.10.11.001a","ft","all","1","710","7","","",""
"C.10.11.001a","ft","all","2","427","4","","",""
"C.20.11.011b","ea","all","0","2","2","","",""
"C.30.11.002a","ft","all","0","135","14","","",""
"C.30.32.001a","ft2","all","0","9509","10","","",""
"C.30.34.001","ea","all","0","155","5","","",""
"D.10.14.012","ea","1","0","2","2","","",""
"D.20.21.011a","ft","all","0","1137","13","","",""
"D.20.21.011b","ft","all","0","1137","12","","",""
"D.20.21.021a","ft","all","0","2065","20","","",""
"D.20.21.024b","ft","all","0","2065","20","","",""
"D.20.22.011a","ft","all","0","3101","37","","",""
"D.20.22.011b","ft","all","0","3101","37","","",""
"D.20.22.021a","ft","all","0","1137","12","","",""
"D.20.22.024b","ft","all","0","1137","12","","",""
"D.20.31.021a","ft","all","0","1550","20","","",""
"D.20.31.021b","ft","all","0","1550","20","","",""
"D.20.51.011a","ft","all","0","207","20","","",""
"D.20.51.011b","ft","all","0","207","20","","",""
"D.20.51.021a","ft","all","0","310","20","","",""
"D.20.51.021b","ft","all","0","310","20","","",""
"D.30.31.011a","ea","roof","0","2","2","","",""
"D.30.31.021a","ea","roof","0","2","2","","",""
"D.30.41.001a","ea","all","0","1","1","","",""
"D.30.41.011a","ft","all","0","775","10","","",""
"D.30.41.012a","ft","all","0","362","10","","",""
"D.30.41.031a","ea","all","0","207","10","","",""
"D.30.41.041a","ea","all","0","52","5","","",""
"D.30.52.011b","ea","all","0","1","1","","",""
"D.30.67.011a","ea","1","0","1","1","","",""
"D.40.11.021a","ft","all","0","2274","20","","",""
"D.40.11.031a","ea","all","0","124","10","","",""
"D.50.12.021a","ea","all","0","4","4","","",""
"D.50.92.031a","ea","1","0","1","1","","",""
