,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_0.803-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.168861122,0.237135346,0.474842303,0.395802356,0.618767936,0.520876467,0.720657269,0.565313466,0.836411752,0.722114574,0.012154902,0.009330126,0.010716215,0.011121674,0.008233709,0.008437036,0.006065074,0.005424349,0.471555232
,0.377429199,0.343235525,0.605720239,0.655321787,0.682082619,0.614627833,0.796992549,0.802737159,0.981396542,0.900364554,0.007791662,0.00763453,0.008663667,0.008842831,0.00953858,0.008826218,0.006781399,0.006039872,0.471555232
,0.399458175,0.286595254,0.654955989,0.339929249,0.718142939,0.380452629,0.717597059,0.599868419,1.023070384,0.815611917,0.007348286,0.00732541,0.009525117,0.00953188,0.009681489,0.008894512,0.007488249,0.006427099,0.471555232
,0.37206072,0.501120807,0.867206581,0.748531044,0.902284195,0.971544651,0.829376975,0.83000437,1.221833002,1.116320087,0.011919009,0.008574284,0.010509132,0.010632529,0.009247068,0.012307706,0.007986227,0.008841739,0.471555232
,0.232800042,0.380800371,0.554599861,0.666909395,0.619105659,0.831896921,0.719594228,0.772482004,0.933091528,1.036473054,0.00896764,0.01043078,0.010040095,0.013480926,0.009811957,0.012617043,0.006900775,0.008059408,0.471555232
,0.504810971,0.45200117,1.088766932,0.71592227,1.248303027,0.962055575,0.713570362,0.848684358,1.516896869,1.092087301,0.011547531,0.007531711,0.008653552,0.008525742,0.010223075,0.009765922,0.01031166,0.007774161,0.471555232
,0.408957941,0.402092811,0.661996302,0.712102306,0.796109092,0.855934077,0.685139561,0.698295241,1.05635233,0.983998076,0.009306592,0.00791396,0.009203839,0.009482273,0.009813744,0.009155799,0.007580371,0.007307984,0.471555232
,0.228345199,0.193738074,0.492455833,0.340745798,0.498220561,0.51952002,0.73261464,0.599378172,0.782545475,0.853708539,0.008573186,0.007944427,0.009639357,0.01046639,0.009099672,0.009662446,0.006177123,0.006812063,0.471555232
,0.329200607,0.310559993,0.49867363,0.55985317,0.628647466,0.764285187,0.632595621,0.626958401,0.953050513,1.070889786,0.007856971,0.009120925,0.009157424,0.009567118,0.009747896,0.009181132,0.007292364,0.007769892,0.471555232
,0.550070686,0.401397667,0.694687694,0.684092054,0.73511879,0.718322407,0.891115386,0.730608324,1.21267636,0.93544132,0.010106855,0.010767037,0.011108635,0.011449864,0.010202033,0.009099884,0.007811237,0.006590878,0.471555232
,0.267775772,0.275033954,0.46221278,0.766508138,0.572159842,1.00100166,0.669772412,0.661663732,0.889391891,1.000103986,0.009708226,0.010360934,0.010227367,0.011208705,0.009594969,0.008657785,0.006792902,0.007113751,0.471555232
,0.330690822,0.184814008,0.672156639,0.561673666,0.755436525,0.789304516,0.744608154,0.599144359,1.089990157,0.966407857,0.009868617,0.009970699,0.010200896,0.011393001,0.010222417,0.008817356,0.007756544,0.007029555,0.471555232
,0.38154608,0.3350491,0.960530025,0.521518588,1.179053701,0.566155002,0.729509094,0.684080674,1.332268254,0.9723202,0.007927034,0.009194395,0.009093757,0.011382572,0.009526259,0.009488419,0.008545705,0.007174375,0.471555232
,0.536650545,0.407987454,0.865740206,0.818774834,1.057054411,0.763275027,0.880722385,0.770668153,1.349350678,1.028855393,0.007169441,0.006967935,0.009043728,0.009296402,0.012553003,0.009288196,0.010174878,0.007265717,0.471555232
,0.383142907,0.471129997,0.869383107,1.245580116,1.066342179,1.485486889,0.949240629,1.377987812,0.964105998,1.517354385,0.009165512,0.008757068,0.009779719,0.010071693,0.009014253,0.010571283,0.005956418,0.00944614,0.471555232
,0.304930245,0.682070583,0.449553003,0.850291087,0.578702998,0.862755535,0.659956471,0.750896615,0.977020272,1.131377418,0.007481554,0.00770547,0.009516158,0.009015155,0.009726553,0.009885938,0.007408447,0.008530291,0.471555232
,0.529744174,0.410804362,0.878634697,0.762123375,0.802378272,0.714739752,0.727783647,0.714685438,1.181795373,1.025069626,0.008498435,0.009001001,0.009651099,0.010670927,0.010015014,0.009601722,0.008033556,0.007405015,0.471555232
,0.340860498,0.660667174,0.597077147,1.123818835,0.796615652,1.278002467,0.763694921,0.786611043,1.128140852,1.400628139,0.006702274,0.007871698,0.008311321,0.008056264,0.009690347,0.015591288,0.008195921,0.013378774,0.471555232
,0.282139218,0.220404495,0.560858781,0.341649126,0.727522067,0.479223249,0.76014921,0.601667542,0.872225064,0.711859943,0.011546273,0.008584545,0.010128821,0.010445823,0.008267315,0.008378572,0.006244313,0.005633864,0.471555232
,0.544241283,0.370031016,0.559197941,0.4239821,0.864757714,0.688791873,0.679548085,0.60586346,0.991733869,0.942427906,0.007264195,0.007645343,0.008472294,0.01051812,0.009479702,0.01022557,0.007284114,0.007249111,0.471555232
,0.328143653,0.592177496,0.844450678,1.660769055,0.890491453,1.302327431,0.798591188,1.159636302,1.22031804,1.513415418,0.010700327,0.007841181,0.010244008,0.010047425,0.008643468,0.011545886,0.007325012,0.008404082,0.471555232
,0.471728439,0.277943889,0.729425088,0.517585682,0.981569813,0.472825305,0.643533327,0.678585053,1.131388764,0.881049779,0.009820013,0.00747121,0.009936336,0.009280918,0.011414442,0.00961729,0.008918761,0.006948074,0.471555232
