,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_1.215-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.156880284,0.195859251,0.286883459,0.370822222,0.328271679,0.369431206,0.457115994,0.392668467,0.54888153,0.612429011,0.012176161,0.011765548,0.014958237,0.01467003,0.014220337,0.015498459,0.009505145,0.010911075,0.312452802
,0.552472874,0.401393591,0.906284219,0.708238305,0.788579615,0.834610436,0.74252874,0.483375553,1.208705948,0.918061024,0.013368852,0.012589186,0.014959975,0.012128703,0.018399437,0.019904244,0.0170406,0.016459837,0.312452802
,0.564947123,0.356754471,0.729929329,0.491604292,0.981693304,0.339817482,0.587102689,0.550318076,1.222174874,0.652798409,0.01233026,0.012291383,0.013311736,0.01539985,0.016794967,0.015037083,0.017636549,0.010079655,0.312452802
,0.194517616,0.20345015,0.396249284,0.339992801,0.402718869,0.415699256,0.598159056,0.425776257,0.606112084,0.521837023,0.014696618,0.013467908,0.01618924,0.015050841,0.015383974,0.012890728,0.010260072,0.008343857,0.312452802
,0.405062518,0.322955889,0.726474926,0.626723392,0.88153879,0.487806262,0.487549069,0.488824773,1.047200512,0.68322188,0.016070421,0.012511496,0.01640529,0.014411875,0.014316688,0.013407276,0.015159832,0.009989216,0.312452802
,0.477840109,0.392327232,1.212834684,0.757250026,0.663325999,0.716260836,1.313143518,0.754570336,1.085411133,0.75379652,0.016761599,0.011740882,0.017476978,0.017700178,0.016885933,0.017222346,0.01396155,0.012173417,0.312452802
,0.778210686,0.630105631,1.694984392,1.08627731,1.794450001,1.149176438,1.076351265,0.771605769,1.490066008,1.176595523,0.02059458,0.017830743,0.011724694,0.013481045,0.028349813,0.021338618,0.031704047,0.023157835,0.312452802
,0.194868801,0.176381854,0.332357842,0.306435484,0.385695221,0.459228617,0.512579682,0.459487326,0.741805029,0.617784672,0.013855659,0.014101365,0.01639545,0.017826371,0.015918737,0.015024114,0.012603272,0.010750608,0.312452802
,0.364580442,0.169423271,0.552306266,0.30445803,0.611689284,0.396775444,0.534295897,0.39862654,0.921593732,0.650454623,0.011167525,0.01103817,0.013381713,0.014194946,0.017509527,0.01583329,0.015825744,0.011622623,0.312452802
,0.636647313,0.411570079,0.797210483,0.517633694,0.808735647,0.638610049,0.779231193,0.556024789,0.870084376,0.766532627,0.012897778,0.013775011,0.015234856,0.015771558,0.016544311,0.014705493,0.014614933,0.011867439,0.312452802
,0.148005773,0.155792524,0.252614943,0.30262066,0.31349502,0.415887101,0.437136334,0.491064205,0.608141594,0.649296615,0.011575431,0.013307342,0.014542501,0.017162606,0.014451922,0.014648951,0.010650566,0.010617967,0.312452802
,0.465102441,0.364869604,0.950617657,0.680751358,0.832851469,0.759811302,0.662338316,0.528902891,1.109973715,0.83848631,0.015516729,0.018265452,0.014346562,0.013689113,0.021184741,0.016367621,0.019922641,0.014164385,0.312452802
,0.257102978,0.438872433,0.474896352,0.71025567,0.546986804,0.856234426,0.46361772,0.445503953,0.794214793,1.11873715,0.015060695,0.011460296,0.016359154,0.014565926,0.016294771,0.01672936,0.013323713,0.014713477,0.312452802
,1.118109633,0.298060987,1.387174106,0.38867417,1.72947757,0.484776931,1.237200031,0.533880794,1.571140632,0.581965375,0.017027485,0.012478865,0.01277992,0.014912114,0.026201747,0.01382622,0.02287413,0.009328558,0.312452802
,0.9385659,0.474997161,1.412838698,1.070947426,1.391408977,0.834675672,1.435457098,0.967153121,1.605211669,1.075715758,0.015033723,0.012907428,0.015761986,0.016999218,0.014952056,0.012875572,0.015278138,0.010837979,0.312452802
,0.237193037,0.255513002,0.26949473,0.440350667,0.350740158,0.515218694,0.503434141,0.471627151,0.651059639,0.64895075,0.010598821,0.0115818,0.014191061,0.015667669,0.014817958,0.016747663,0.010531073,0.011381438,0.312452802
,0.45322005,0.345460519,0.734151302,0.692895083,0.802371328,0.80892838,0.590984057,0.589076458,0.902723958,0.960598588,0.015295442,0.014739734,0.014625612,0.014432064,0.014871797,0.017515436,0.013185025,0.015437626,0.312452802
,0.261113528,0.508641101,0.554018488,0.937627258,0.596898655,1.205714276,0.614103488,0.725272219,0.89813471,1.083730419,0.01491531,0.016603859,0.015346175,0.015707694,0.015158411,0.015946875,0.013316724,0.019385321,0.312452802
,0.337911529,0.270798376,0.428872489,0.363635065,0.453586848,0.372371868,0.60669126,0.378941871,0.759311986,0.616840144,0.012227665,0.011987468,0.016593837,0.014511254,0.019028365,0.014217526,0.012891488,0.010634791,0.312452802
,0.761235807,0.560160264,1.131982629,0.635918215,1.232755958,0.562537421,0.586878707,0.563017859,1.227429885,1.013339976,0.013467868,0.011799678,0.014458533,0.014780824,0.019140898,0.017955374,0.020880798,0.015600152,0.312452802
,0.256057572,0.607396391,0.504681833,1.521905126,0.437254837,1.092940332,0.635064571,1.341362301,0.887837737,1.386416466,0.014100896,0.014325778,0.015984158,0.01625734,0.016305031,0.016998296,0.012840471,0.015707004,0.312452802
,0.577148951,0.486945318,0.796288933,0.767129335,0.70226577,0.817922474,0.659465034,0.699713656,0.821211344,0.999971496,0.01318712,0.014276054,0.015005594,0.014057845,0.013760235,0.018450041,0.01162169,0.016690548,0.312452802
