,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_0.986-0-1
Units,g,g,g,g,g,g,g,g,g,g,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
,0.257047281,0.38499888,0.502996376,0.609445594,0.823578753,0.693478973,0.864431525,0.685151689,1.048409308,1.171615808,0.018490415,0.017212772,0.018287319,0.023390044,0.016866745,0.018093624,0.011914151,0.012428218,0.7005103
,0.677767682,0.496759402,1.225409201,1.026540063,1.041303519,0.894106224,1.000979929,0.952370353,1.496826167,1.37335121,0.016152213,0.013886043,0.018602695,0.023356218,0.018844016,0.024249477,0.016528845,0.015560648,0.7005103
,0.632354819,0.473043752,0.936869125,0.82826739,1.255411286,0.861704975,0.989058558,0.812242697,1.161723649,1.238046494,0.023388637,0.015164018,0.020783499,0.021647755,0.01617144,0.019162822,0.011846275,0.014792172,0.7005103
,0.503636614,0.48889381,0.908997076,0.879977003,0.873295722,0.811220224,1.045507479,1.105241437,1.215564473,0.996348522,0.020220846,0.015220714,0.017716107,0.018595309,0.016051961,0.016284487,0.011285018,0.011102908,0.7005103
,0.483095181,0.404805141,0.783333274,0.61499816,1.036654218,0.627686408,0.721989059,0.709377284,1.23602318,1.049471149,0.015202865,0.017089518,0.019481699,0.023155979,0.024301028,0.017276278,0.018125858,0.012528569,0.7005103
,1.904308969,0.918691985,1.756354813,1.279509782,1.15870396,1.387258366,2.082110287,1.182610985,1.686380302,1.461443924,0.018307254,0.018807065,0.02034847,0.018015037,0.023298775,0.020169285,0.015875317,0.015090237,0.7005103
,0.453991351,0.631019315,0.905023052,0.766615746,0.947880546,0.835830062,0.936303326,0.845724429,1.291269851,1.257479546,0.021592083,0.020868424,0.019233527,0.019025587,0.0131776,0.020517377,0.012540514,0.015364693,0.7005103
,1.717314614,0.700247251,2.150017086,1.157389629,2.149843466,1.031952788,2.150907118,0.961288183,2.536048699,1.213936113,0.016270263,0.022559623,0.019560208,0.022498472,0.02325943,0.016608427,0.026697051,0.013624394,0.7005103
,0.918765678,0.483358545,1.372975453,1.208366066,1.295065098,1.329206176,1.177950755,1.045785222,1.500053104,1.420063929,0.021797236,0.01723703,0.01925726,0.023467538,0.018616941,0.017507839,0.016507063,0.016319263,0.7005103
,0.509416377,1.027053999,0.806485263,1.431693482,0.867403884,1.385969732,0.852046949,1.002244276,1.082182266,1.643713172,0.017456213,0.022817836,0.019664692,0.020572312,0.016845102,0.023789114,0.011808624,0.018051889,0.7005103
,0.519875874,0.290243537,0.680843396,0.449715244,0.937974727,0.542212189,0.771681499,0.731649277,1.058468375,1.070085615,0.020510627,0.01733127,0.022313365,0.020321222,0.01742927,0.019563249,0.011938766,0.013026694,0.7005103
,0.994875634,0.83861254,1.424107411,0.83472523,1.432556831,0.91402979,1.117100824,0.881205666,1.833321364,1.213820927,0.01613254,0.01578358,0.015865031,0.022626024,0.03323027,0.022616108,0.024074465,0.015248069,0.7005103
,0.683179831,0.580743377,1.554936588,1.661817656,1.01046093,1.652828618,1.142932342,1.339524483,1.594184848,1.864771104,0.022605972,0.013179868,0.021255506,0.019499228,0.018215095,0.02412072,0.013324816,0.019871196,0.7005103
,0.973534743,0.795551757,1.090632802,1.192833048,1.292055353,1.123261431,0.982798153,0.974006692,1.633565191,1.453107138,0.018621818,0.015748359,0.017008716,0.01797587,0.021311072,0.024963743,0.019311635,0.020745437,0.7005103
